"Coordinate" "plate.name" "Time" "OD600" "Strain" "Condition" "Bio_Rep"
"C2" "A1" 60 0.0106 "BY4741" "SYNHEFL00000022" "1"
"C3" "A1" 60 0.0129 "aly1KO" "SYNHEFL00000022" "1"
"C4" "A1" 60 0.0113 "art10KO" "SYNHEFL00000022" "1"
"C5" "A1" 60 0.011 "hal5KO" "SYNHEFL00000022" "1"
"C6" "A1" 60 0.0126 "ilt1KO" "SYNHEFL00000022" "1"
"C7" "A1" 60 0.0133 "ldb19KO" "SYNHEFL00000022" "1"
"C8" "A1" 60 0.0191 "sat4KO" "SYNHEFL00000022" "1"
"C9" "A1" 60 0.0167 "trk1KO" "SYNHEFL00000022" "1"
"C10" "A1" 60 0.0155 "trk2KO" "SYNHEFL00000022" "1"
"C11" "A1" 60 0.0265 "BY4741" "SYNHEFL00000022" "1"
"D2" "A1" 60 0.0166 "BY4741" "SYNHEFL00000022" "1"
"D3" "A1" 60 0.0193 "aly1KO" "SYNHEFL00000022" "1"
"D4" "A1" 60 0.0121 "art10KO" "SYNHEFL00000022" "1"
"D5" "A1" 60 0.0138 "hal5KO" "SYNHEFL00000022" "1"
"D6" "A1" 60 0.0195 "ilt1KO" "SYNHEFL00000022" "1"
"D7" "A1" 60 0.0182 "ldb19KO" "SYNHEFL00000022" "1"
"D8" "A1" 60 0.0204 "sat4KO" "SYNHEFL00000022" "1"
"D9" "A1" 60 0.0226 "trk1KO" "SYNHEFL00000022" "1"
"D10" "A1" 60 0.0169 "trk2KO" "SYNHEFL00000022" "1"
"D11" "A1" 60 0.0147 "BY4741" "SYNHEFL00000022" "1"
"E2" "A1" 60 0.0141 "BY4741" "SYNHEFL00000022" "1"
"E3" "A1" 60 0.0177 "aly1KO" "SYNHEFL00000022" "1"
"E4" "A1" 60 0.015 "art10KO" "SYNHEFL00000022" "1"
"E5" "A1" 60 0.0164 "hal5KO" "SYNHEFL00000022" "1"
"E6" "A1" 60 0.0174 "ilt1KO" "SYNHEFL00000022" "1"
"E7" "A1" 60 0.0165 "ldb19KO" "SYNHEFL00000022" "1"
"E8" "A1" 60 0.0185 "sat4KO" "SYNHEFL00000022" "1"
"E9" "A1" 60 0.0172 "trk1KO" "SYNHEFL00000022" "1"
"E10" "A1" 60 0.0185 "trk2KO" "SYNHEFL00000022" "1"
"E11" "A1" 60 0.0238 "BY4741" "SYNHEFL00000022" "1"
"F2" "A1" 60 0.007 "BY4741" "SYNHEFL00000022" "1"
"F3" "A1" 60 0.0135 "aly1KO" "SYNHEFL00000022" "1"
"F4" "A1" 60 0.0088 "art10KO" "SYNHEFL00000022" "1"
"F5" "A1" 60 0.0102 "hal5KO" "SYNHEFL00000022" "1"
"F6" "A1" 60 0.0124 "ilt1KO" "SYNHEFL00000022" "1"
"F7" "A1" 60 0.016 "ldb19KO" "SYNHEFL00000022" "1"
"F8" "A1" 60 0.0149 "sat4KO" "SYNHEFL00000022" "1"
"F9" "A1" 60 0.0147 "trk1KO" "SYNHEFL00000022" "1"
"F10" "A1" 60 0.0175 "trk2KO" "SYNHEFL00000022" "1"
"F11" "A1" 60 0.0149 "BY4741" "SYNHEFL00000022" "1"
"G2" "A1" 60 0.0131 "BY4741" "SYNHEFL00000022" "1"
"G3" "A1" 60 0.0132 "aly1KO" "SYNHEFL00000022" "1"
"G4" "A1" 60 0.011 "art10KO" "SYNHEFL00000022" "1"
"G5" "A1" 60 0.0139 "hal5KO" "SYNHEFL00000022" "1"
"G6" "A1" 60 0.016 "ilt1KO" "SYNHEFL00000022" "1"
"G7" "A1" 60 0.0184 "ldb19KO" "SYNHEFL00000022" "1"
"G8" "A1" 60 0.0172 "sat4KO" "SYNHEFL00000022" "1"
"G9" "A1" 60 0.0193 "trk1KO" "SYNHEFL00000022" "1"
"G10" "A1" 60 0.016 "trk2KO" "SYNHEFL00000022" "1"
"G11" "A1" 60 0.0163 "BY4741" "SYNHEFL00000022" "1"
"B2" "A1" 120 0.0227 "BY4741" "SYNHEFL00000022" "1"
"B3" "A1" 120 0.0246 "aly1KO" "SYNHEFL00000022" "1"
"B4" "A1" 120 0.0173 "art10KO" "SYNHEFL00000022" "1"
"B5" "A1" 120 0.0192 "hal5KO" "SYNHEFL00000022" "1"
"B6" "A1" 120 0.0263 "ilt1KO" "SYNHEFL00000022" "1"
"B7" "A1" 120 0.0249 "ldb19KO" "SYNHEFL00000022" "1"
"B8" "A1" 120 0.0244 "sat4KO" "SYNHEFL00000022" "1"
"B9" "A1" 120 0.0194 "trk1KO" "SYNHEFL00000022" "1"
"B10" "A1" 120 0.015 "trk2KO" "SYNHEFL00000022" "1"
"B11" "A1" 120 0.0161 "BY4741" "SYNHEFL00000022" "1"
"C2" "A1" 120 0.015 "BY4741" "SYNHEFL00000022" "1"
"C3" "A1" 120 0.018 "aly1KO" "SYNHEFL00000022" "1"
"C4" "A1" 120 0.0163 "art10KO" "SYNHEFL00000022" "1"
"C5" "A1" 120 0.0146 "hal5KO" "SYNHEFL00000022" "1"
"C6" "A1" 120 0.0181 "ilt1KO" "SYNHEFL00000022" "1"
"C7" "A1" 120 0.0175 "ldb19KO" "SYNHEFL00000022" "1"
"C8" "A1" 120 0.0261 "sat4KO" "SYNHEFL00000022" "1"
"C9" "A1" 120 0.0226 "trk1KO" "SYNHEFL00000022" "1"
"C10" "A1" 120 0.0199 "trk2KO" "SYNHEFL00000022" "1"
"C11" "A1" 120 0.0383 "BY4741" "SYNHEFL00000022" "1"
"D2" "A1" 120 0.0247 "BY4741" "SYNHEFL00000022" "1"
"D3" "A1" 120 0.0276 "aly1KO" "SYNHEFL00000022" "1"
"D4" "A1" 120 0.0167 "art10KO" "SYNHEFL00000022" "1"
"D5" "A1" 120 0.0182 "hal5KO" "SYNHEFL00000022" "1"
"D6" "A1" 120 0.0266 "ilt1KO" "SYNHEFL00000022" "1"
"D7" "A1" 120 0.0234 "ldb19KO" "SYNHEFL00000022" "1"
"D8" "A1" 120 0.027 "sat4KO" "SYNHEFL00000022" "1"
"D9" "A1" 120 0.0316 "trk1KO" "SYNHEFL00000022" "1"
"D10" "A1" 120 0.0225 "trk2KO" "SYNHEFL00000022" "1"
"D11" "A1" 120 0.0223 "BY4741" "SYNHEFL00000022" "1"
"E2" "A1" 120 0.0213 "BY4741" "SYNHEFL00000022" "1"
"E3" "A1" 120 0.0252 "aly1KO" "SYNHEFL00000022" "1"
"E4" "A1" 120 0.0217 "art10KO" "SYNHEFL00000022" "1"
"E5" "A1" 120 0.0224 "hal5KO" "SYNHEFL00000022" "1"
"E6" "A1" 120 0.0241 "ilt1KO" "SYNHEFL00000022" "1"
"E7" "A1" 120 0.0211 "ldb19KO" "SYNHEFL00000022" "1"
"E8" "A1" 120 0.0251 "sat4KO" "SYNHEFL00000022" "1"
"E9" "A1" 120 0.0234 "trk1KO" "SYNHEFL00000022" "1"
"E10" "A1" 120 0.0244 "trk2KO" "SYNHEFL00000022" "1"
"E11" "A1" 120 0.0341 "BY4741" "SYNHEFL00000022" "1"
"F2" "A1" 120 0.011 "BY4741" "SYNHEFL00000022" "1"
"F3" "A1" 120 0.0242 "aly1KO" "SYNHEFL00000022" "1"
"F4" "A1" 120 0.0131 "art10KO" "SYNHEFL00000022" "1"
"F5" "A1" 120 0.0131 "hal5KO" "SYNHEFL00000022" "1"
"F6" "A1" 120 0.0167 "ilt1KO" "SYNHEFL00000022" "1"
"F7" "A1" 120 0.0201 "ldb19KO" "SYNHEFL00000022" "1"
"F8" "A1" 120 0.0198 "sat4KO" "SYNHEFL00000022" "1"
"F9" "A1" 120 0.0197 "trk1KO" "SYNHEFL00000022" "1"
"F10" "A1" 120 0.0226 "trk2KO" "SYNHEFL00000022" "1"
"F11" "A1" 120 0.0204 "BY4741" "SYNHEFL00000022" "1"
"G2" "A1" 120 0.0203 "BY4741" "SYNHEFL00000022" "1"
"G3" "A1" 120 0.0189 "aly1KO" "SYNHEFL00000022" "1"
"G4" "A1" 120 0.0152 "art10KO" "SYNHEFL00000022" "1"
"G5" "A1" 120 0.0178 "hal5KO" "SYNHEFL00000022" "1"
"G6" "A1" 120 0.0218 "ilt1KO" "SYNHEFL00000022" "1"
"G7" "A1" 120 0.0235 "ldb19KO" "SYNHEFL00000022" "1"
"G8" "A1" 120 0.0226 "sat4KO" "SYNHEFL00000022" "1"
"G9" "A1" 120 0.0262 "trk1KO" "SYNHEFL00000022" "1"
"G10" "A1" 120 0.0203 "trk2KO" "SYNHEFL00000022" "1"
"G11" "A1" 120 0.0224 "BY4741" "SYNHEFL00000022" "1"
"B2" "A1" 180 0.0359 "BY4741" "SYNHEFL00000022" "1"
"B3" "A1" 180 0.0366 "aly1KO" "SYNHEFL00000022" "1"
"B4" "A1" 180 0.0258 "art10KO" "SYNHEFL00000022" "1"
"B5" "A1" 180 0.0284 "hal5KO" "SYNHEFL00000022" "1"
"B6" "A1" 180 0.0398 "ilt1KO" "SYNHEFL00000022" "1"
"B7" "A1" 180 0.0355 "ldb19KO" "SYNHEFL00000022" "1"
"B8" "A1" 180 0.0383 "sat4KO" "SYNHEFL00000022" "1"
"B9" "A1" 180 0.0291 "trk1KO" "SYNHEFL00000022" "1"
"B10" "A1" 180 0.0207 "trk2KO" "SYNHEFL00000022" "1"
"B11" "A1" 180 0.0246 "BY4741" "SYNHEFL00000022" "1"
"C2" "A1" 180 0.0215 "BY4741" "SYNHEFL00000022" "1"
"C3" "A1" 180 0.026 "aly1KO" "SYNHEFL00000022" "1"
"C4" "A1" 180 0.0233 "art10KO" "SYNHEFL00000022" "1"
"C5" "A1" 180 0.0207 "hal5KO" "SYNHEFL00000022" "1"
"C6" "A1" 180 0.0263 "ilt1KO" "SYNHEFL00000022" "1"
"C7" "A1" 180 0.0249 "ldb19KO" "SYNHEFL00000022" "1"
"C8" "A1" 180 0.0406 "sat4KO" "SYNHEFL00000022" "1"
"C9" "A1" 180 0.0344 "trk1KO" "SYNHEFL00000022" "1"
"C10" "A1" 180 0.03 "trk2KO" "SYNHEFL00000022" "1"
"C11" "A1" 180 0.0611 "BY4741" "SYNHEFL00000022" "1"
"D2" "A1" 180 0.0382 "BY4741" "SYNHEFL00000022" "1"
"D3" "A1" 180 0.0429 "aly1KO" "SYNHEFL00000022" "1"
"D4" "A1" 180 0.0251 "art10KO" "SYNHEFL00000022" "1"
"D5" "A1" 180 0.0272 "hal5KO" "SYNHEFL00000022" "1"
"D6" "A1" 180 0.042 "ilt1KO" "SYNHEFL00000022" "1"
"D7" "A1" 180 0.035 "ldb19KO" "SYNHEFL00000022" "1"
"D8" "A1" 180 0.0424 "sat4KO" "SYNHEFL00000022" "1"
"D9" "A1" 180 0.0496 "trk1KO" "SYNHEFL00000022" "1"
"D10" "A1" 180 0.0339 "trk2KO" "SYNHEFL00000022" "1"
"D11" "A1" 180 0.0338 "BY4741" "SYNHEFL00000022" "1"
"E2" "A1" 180 0.0327 "BY4741" "SYNHEFL00000022" "1"
"E3" "A1" 180 0.0389 "aly1KO" "SYNHEFL00000022" "1"
"E4" "A1" 180 0.0325 "art10KO" "SYNHEFL00000022" "1"
"E5" "A1" 180 0.033 "hal5KO" "SYNHEFL00000022" "1"
"E6" "A1" 180 0.035 "ilt1KO" "SYNHEFL00000022" "1"
"E7" "A1" 180 0.0318 "ldb19KO" "SYNHEFL00000022" "1"
"E8" "A1" 180 0.0399 "sat4KO" "SYNHEFL00000022" "1"
"E9" "A1" 180 0.034 "trk1KO" "SYNHEFL00000022" "1"
"E10" "A1" 180 0.0369 "trk2KO" "SYNHEFL00000022" "1"
"E11" "A1" 180 0.0593 "BY4741" "SYNHEFL00000022" "1"
"F2" "A1" 180 0.0167 "BY4741" "SYNHEFL00000022" "1"
"F3" "A1" 180 0.0293 "aly1KO" "SYNHEFL00000022" "1"
"F4" "A1" 180 0.0192 "art10KO" "SYNHEFL00000022" "1"
"F5" "A1" 180 0.0188 "hal5KO" "SYNHEFL00000022" "1"
"F6" "A1" 180 0.0255 "ilt1KO" "SYNHEFL00000022" "1"
"F7" "A1" 180 0.0303 "ldb19KO" "SYNHEFL00000022" "1"
"F8" "A1" 180 0.031 "sat4KO" "SYNHEFL00000022" "1"
"F9" "A1" 180 0.029 "trk1KO" "SYNHEFL00000022" "1"
"F10" "A1" 180 0.0331 "trk2KO" "SYNHEFL00000022" "1"
"F11" "A1" 180 0.031 "BY4741" "SYNHEFL00000022" "1"
"G2" "A1" 180 0.0333 "BY4741" "SYNHEFL00000022" "1"
"G3" "A1" 180 0.0313 "aly1KO" "SYNHEFL00000022" "1"
"G4" "A1" 180 0.0249 "art10KO" "SYNHEFL00000022" "1"
"G5" "A1" 180 0.0261 "hal5KO" "SYNHEFL00000022" "1"
"G6" "A1" 180 0.033 "ilt1KO" "SYNHEFL00000022" "1"
"G7" "A1" 180 0.0331 "ldb19KO" "SYNHEFL00000022" "1"
"G8" "A1" 180 0.0349 "sat4KO" "SYNHEFL00000022" "1"
"G9" "A1" 180 0.0393 "trk1KO" "SYNHEFL00000022" "1"
"G10" "A1" 180 0.029 "trk2KO" "SYNHEFL00000022" "1"
"G11" "A1" 180 0.0438 "BY4741" "SYNHEFL00000022" "1"
"B2" "A1" 240 0.0591 "BY4741" "SYNHEFL00000022" "1"
"B3" "A1" 240 0.0548 "aly1KO" "SYNHEFL00000022" "1"
"B4" "A1" 240 0.0368 "art10KO" "SYNHEFL00000022" "1"
"B5" "A1" 240 0.0446 "hal5KO" "SYNHEFL00000022" "1"
"B6" "A1" 240 0.0666 "ilt1KO" "SYNHEFL00000022" "1"
"B7" "A1" 240 0.0565 "ldb19KO" "SYNHEFL00000022" "1"
"B8" "A1" 240 0.0628 "sat4KO" "SYNHEFL00000022" "1"
"B9" "A1" 240 0.0496 "trk1KO" "SYNHEFL00000022" "1"
"B10" "A1" 240 0.0309 "trk2KO" "SYNHEFL00000022" "1"
"B11" "A1" 240 0.0413 "BY4741" "SYNHEFL00000022" "1"
"C2" "A1" 240 0.0339 "BY4741" "SYNHEFL00000022" "1"
"C3" "A1" 240 0.0382 "aly1KO" "SYNHEFL00000022" "1"
"C4" "A1" 240 0.0337 "art10KO" "SYNHEFL00000022" "1"
"C5" "A1" 240 0.0295 "hal5KO" "SYNHEFL00000022" "1"
"C6" "A1" 240 0.04 "ilt1KO" "SYNHEFL00000022" "1"
"C7" "A1" 240 0.035 "ldb19KO" "SYNHEFL00000022" "1"
"C8" "A1" 240 0.0642 "sat4KO" "SYNHEFL00000022" "1"
"C9" "A1" 240 0.0523 "trk1KO" "SYNHEFL00000022" "1"
"C10" "A1" 240 0.0473 "trk2KO" "SYNHEFL00000022" "1"
"C11" "A1" 240 0.101 "BY4741" "SYNHEFL00000022" "1"
"D2" "A1" 240 0.0672 "BY4741" "SYNHEFL00000022" "1"
"D3" "A1" 240 0.0722 "aly1KO" "SYNHEFL00000022" "1"
"D4" "A1" 240 0.0384 "art10KO" "SYNHEFL00000022" "1"
"D5" "A1" 240 0.0419 "hal5KO" "SYNHEFL00000022" "1"
"D6" "A1" 240 0.0719 "ilt1KO" "SYNHEFL00000022" "1"
"D7" "A1" 240 0.0542 "ldb19KO" "SYNHEFL00000022" "1"
"D8" "A1" 240 0.0708 "sat4KO" "SYNHEFL00000022" "1"
"D9" "A1" 240 0.085 "trk1KO" "SYNHEFL00000022" "1"
"D10" "A1" 240 0.0524 "trk2KO" "SYNHEFL00000022" "1"
"D11" "A1" 240 0.0509 "BY4741" "SYNHEFL00000022" "1"
"E2" "A1" 240 0.053 "BY4741" "SYNHEFL00000022" "1"
"E3" "A1" 240 0.0605 "aly1KO" "SYNHEFL00000022" "1"
"E4" "A1" 240 0.0493 "art10KO" "SYNHEFL00000022" "1"
"E5" "A1" 240 0.0535 "hal5KO" "SYNHEFL00000022" "1"
"E6" "A1" 240 0.0498 "ilt1KO" "SYNHEFL00000022" "1"
"E7" "A1" 240 0.0478 "ldb19KO" "SYNHEFL00000022" "1"
"E8" "A1" 240 0.0655 "sat4KO" "SYNHEFL00000022" "1"
"E9" "A1" 240 0.0491 "trk1KO" "SYNHEFL00000022" "1"
"E10" "A1" 240 0.0557 "trk2KO" "SYNHEFL00000022" "1"
"E11" "A1" 240 0.0911 "BY4741" "SYNHEFL00000022" "1"
"F2" "A1" 240 0.028 "BY4741" "SYNHEFL00000022" "1"
"F3" "A1" 240 0.0479 "aly1KO" "SYNHEFL00000022" "1"
"F4" "A1" 240 0.0293 "art10KO" "SYNHEFL00000022" "1"
"F5" "A1" 240 0.0273 "hal5KO" "SYNHEFL00000022" "1"
"F6" "A1" 240 0.0423 "ilt1KO" "SYNHEFL00000022" "1"
"F7" "A1" 240 0.046 "ldb19KO" "SYNHEFL00000022" "1"
"F8" "A1" 240 0.0486 "sat4KO" "SYNHEFL00000022" "1"
"F9" "A1" 240 0.0463 "trk1KO" "SYNHEFL00000022" "1"
"F10" "A1" 240 0.0495 "trk2KO" "SYNHEFL00000022" "1"
"F11" "A1" 240 0.0502 "BY4741" "SYNHEFL00000022" "1"
"G2" "A1" 240 0.0491 "BY4741" "SYNHEFL00000022" "1"
"G3" "A1" 240 0.047 "aly1KO" "SYNHEFL00000022" "1"
"G4" "A1" 240 0.0375 "art10KO" "SYNHEFL00000022" "1"
"G5" "A1" 240 0.0377 "hal5KO" "SYNHEFL00000022" "1"
"G6" "A1" 240 0.0496 "ilt1KO" "SYNHEFL00000022" "1"
"G7" "A1" 240 0.0459 "ldb19KO" "SYNHEFL00000022" "1"
"G8" "A1" 240 0.0499 "sat4KO" "SYNHEFL00000022" "1"
"G9" "A1" 240 0.0596 "trk1KO" "SYNHEFL00000022" "1"
"G10" "A1" 240 0.041 "trk2KO" "SYNHEFL00000022" "1"
"G11" "A1" 240 0.0513 "BY4741" "SYNHEFL00000022" "1"
"B2" "A1" 300 0.0898 "BY4741" "SYNHEFL00000022" "1"
"B3" "A1" 300 0.0803 "aly1KO" "SYNHEFL00000022" "1"
"B4" "A1" 300 0.0509 "art10KO" "SYNHEFL00000022" "1"
"B5" "A1" 300 0.0637 "hal5KO" "SYNHEFL00000022" "1"
"B6" "A1" 300 0.0983 "ilt1KO" "SYNHEFL00000022" "1"
"B7" "A1" 300 0.0802 "ldb19KO" "SYNHEFL00000022" "1"
"B8" "A1" 300 0.0914 "sat4KO" "SYNHEFL00000022" "1"
"B9" "A1" 300 0.0766 "trk1KO" "SYNHEFL00000022" "1"
"B10" "A1" 300 0.0406 "trk2KO" "SYNHEFL00000022" "1"
"B11" "A1" 300 0.0622 "BY4741" "SYNHEFL00000022" "1"
"C2" "A1" 300 0.0478 "BY4741" "SYNHEFL00000022" "1"
"C3" "A1" 300 0.0518 "aly1KO" "SYNHEFL00000022" "1"
"C4" "A1" 300 0.0469 "art10KO" "SYNHEFL00000022" "1"
"C5" "A1" 300 0.039 "hal5KO" "SYNHEFL00000022" "1"
"C6" "A1" 300 0.0606 "ilt1KO" "SYNHEFL00000022" "1"
"C7" "A1" 300 0.0499 "ldb19KO" "SYNHEFL00000022" "1"
"C8" "A1" 300 0.0905 "sat4KO" "SYNHEFL00000022" "1"
"C9" "A1" 300 0.0793 "trk1KO" "SYNHEFL00000022" "1"
"C10" "A1" 300 0.0732 "trk2KO" "SYNHEFL00000022" "1"
"C11" "A1" 300 0.124 "BY4741" "SYNHEFL00000022" "1"
"D2" "A1" 300 0.1024 "BY4741" "SYNHEFL00000022" "1"
"D3" "A1" 300 0.1092 "aly1KO" "SYNHEFL00000022" "1"
"D4" "A1" 300 0.0574 "art10KO" "SYNHEFL00000022" "1"
"D5" "A1" 300 0.0597 "hal5KO" "SYNHEFL00000022" "1"
"D6" "A1" 300 0.1107 "ilt1KO" "SYNHEFL00000022" "1"
"D7" "A1" 300 0.078 "ldb19KO" "SYNHEFL00000022" "1"
"D8" "A1" 300 0.1039 "sat4KO" "SYNHEFL00000022" "1"
"D9" "A1" 300 0.122 "trk1KO" "SYNHEFL00000022" "1"
"D10" "A1" 300 0.078 "trk2KO" "SYNHEFL00000022" "1"
"D11" "A1" 300 0.0717 "BY4741" "SYNHEFL00000022" "1"
"E2" "A1" 300 0.0789 "BY4741" "SYNHEFL00000022" "1"
"E3" "A1" 300 0.0891 "aly1KO" "SYNHEFL00000022" "1"
"E4" "A1" 300 0.0724 "art10KO" "SYNHEFL00000022" "1"
"E5" "A1" 300 0.0867 "hal5KO" "SYNHEFL00000022" "1"
"E6" "A1" 300 0.0811 "ilt1KO" "SYNHEFL00000022" "1"
"E7" "A1" 300 0.0684 "ldb19KO" "SYNHEFL00000022" "1"
"E8" "A1" 300 0.1038 "sat4KO" "SYNHEFL00000022" "1"
"E9" "A1" 300 0.0695 "trk1KO" "SYNHEFL00000022" "1"
"E10" "A1" 300 0.0811 "trk2KO" "SYNHEFL00000022" "1"
"E11" "A1" 300 0.1263 "BY4741" "SYNHEFL00000022" "1"
"F2" "A1" 300 0.0419 "BY4741" "SYNHEFL00000022" "1"
"F3" "A1" 300 0.0689 "aly1KO" "SYNHEFL00000022" "1"
"F4" "A1" 300 0.0385 "art10KO" "SYNHEFL00000022" "1"
"F5" "A1" 300 0.0371 "hal5KO" "SYNHEFL00000022" "1"
"F6" "A1" 300 0.0625 "ilt1KO" "SYNHEFL00000022" "1"
"F7" "A1" 300 0.0648 "ldb19KO" "SYNHEFL00000022" "1"
"F8" "A1" 300 0.0716 "sat4KO" "SYNHEFL00000022" "1"
"F9" "A1" 300 0.0709 "trk1KO" "SYNHEFL00000022" "1"
"F10" "A1" 300 0.069 "trk2KO" "SYNHEFL00000022" "1"
"F11" "A1" 300 0.0711 "BY4741" "SYNHEFL00000022" "1"
"G2" "A1" 300 0.0707 "BY4741" "SYNHEFL00000022" "1"
"G3" "A1" 300 0.0683 "aly1KO" "SYNHEFL00000022" "1"
"G4" "A1" 300 0.0525 "art10KO" "SYNHEFL00000022" "1"
"G5" "A1" 300 0.0501 "hal5KO" "SYNHEFL00000022" "1"
"G6" "A1" 300 0.0719 "ilt1KO" "SYNHEFL00000022" "1"
"G7" "A1" 300 0.0614 "ldb19KO" "SYNHEFL00000022" "1"
"G8" "A1" 300 0.0685 "sat4KO" "SYNHEFL00000022" "1"
"G9" "A1" 300 0.0838 "trk1KO" "SYNHEFL00000022" "1"
